hello_world	Witaj, świecie
Cyberhook	Cyberhook
press_any	Naciśnij - Dowolny klawisz -
clear	Ukończono!
pb_number	Rekord: {0}
play	Graj
restart	Od nowa
restart_marathon	Maraton od nowa
replays	Powtórki
options	Opcje
quit	Wyjdź
personnal_best	Rekord osobisty
no_replay	- Brak powtórek -
best_plays_stored_here	Tu trafią twoje najlepsze przejścia
view_replay	Obejrzyj
level_select	Wybór poziomu
vsync	V-Sync
max_fps	Maks. FPS
screen_space_reflexions	Odbicia w przestrzeni ekranu
motion_blur	Rozmycie ruchu
anti_aliasing	Wygładzanie krawędzi
full_screen	Pełny ekran
resolution	Rozdzielczość
clear_all_replays	Usuń wszystkie powtórki
player_name	Nazwa gracza
apply_changes	Zastosuj zmiany
vertical_mouse_sensitivity	Czułość myszy w pionie
horizontal_mouse_sensitivity	Czułość myszy w poziomie
edit_controls	Zmień sterowanie
game_is_under_construction	Gra jest wciąż w budowie <br>Uwaga na błędy i usterki!<br><size=6>Jeśli coś znajdziesz, napisz do <size=12><color=#00AAFF>@BlazingStick</color></size> na Twitterze</size>
master_volume	Głośność ogólna
music_volume	Muzyka
sfx_volume	Efekty dźwiękowe
invert_vertical_axis	Odwróć oś pionową
sound	Dźwięk
apply	Zastosuj
gameplay	Rozgrywka
return	Wróć
leaderboards	Rankingi
leaderboard_fullview	Pełny widok
personnal_best_short	Rekord
clear_selection	Wyczyść
public	Publiczne
tutorial	Samouczek
graphics	Grafika
controls	Sterowanie
public_records	Publiczne powtórki
level_name	Nazwa poziomu
first_time_clear	Pierwsze ukończenie!
personnal_best_clear	Nowy rekord!
saved_replay_to	Zapisano powtórkę w: {0}
save_replay	Zapisz powtórkę
next_level	Następny poziom
return_to_main_menu	Menu główne
resume_game	Wznów
pause_title	PAUZA
loading	Wczytywanie
secret_congratulation	Gratulacje!
found_a_secret	Znaleziono sekret!
secret_is_just_for_show	Może kiedyś będzie z tego coś więcej, ale na razie to tylko ozdoba :)
locked	#ZABLOKOWANE#
world_number	Świat {0}
vsync_off	wył.
vsync_every_frame	Co klatkę
vsync_every_second_frame	Co 2. klatkę
vsync_desc	Synchronizacja pionowa (V-Sync) czeka, aż monitor będzie gotowy, zanim pokaże kolejną klatkę.<br>Zapobiega rwaniu obrazu, ale ogranicza liczbę klatek.
anti_aliasing_desc	Wygładza poszarpane krawędzie w świecie gry.
apply_changes_desc	Zastosuj zmiany w grafice.
clear_replay_data_desc	Usuwa wszystkie powtórki z plików gry.<br><br>(Postępy zostają).
edit_controls_desc	Ta część jest jeszcze w budowie.<br>Pozwolimy ci zmienić każdy klawisz i przypisać od nowa <size=4>(miejmy nadzieję)</size> każdy pad.
full_screen_desc	Czy gra ma działać na pełnym ekranie, czy w oknie?
invert_vertical_axis_desc	Odwraca pionowy obrót kamery w grze.
master_volume_desc	Główna głośność gry.<br>Wpływa na wszystko, co słychać.
sfx_volume_desc	Głośność efektów dźwiękowych.<br><br>Dotyczy pojedynczych dźwięków w grze.<br><size=4>(czyli wszystkich „wziuum”, „piu piu” i „bum”)</size>
music_volume_desc	Głośność muzyki.<br>Dotyczy tylko muzyki w tle.<br><br><size=4>(Ustaw 0, żeby zrobić montaż MLG z własną muzyką)</size>
max_fps_desc	Największa liczba klatek na sekundę, jaką gra może wyświetlić.<br>Ogranicza ją częstotliwość monitora.
motion_blur_desc	Rozmycie ruchu... rozmywa obraz przy szybkim ruchu.
player_name_desc	Nazwa gracza wyświetlana przy powtórkach.<br><br>Możesz użyć <color="red">formatowania</color> <size=20><color=#00bbff>tekstu</color></size>, żeby dodać jej pazura.
resolution_desc	Rozdzielczość ekranu.<br><br>Zmniejsz ją, żeby poprawić wydajność.
screen_space_reflexions_desc	Odbicia w przestrzeni ekranu liczą odbicia w świecie na podstawie tego, co widać na ekranie.
horizontal_mouse_sensitivity_desc	Czułość myszy w poziomie.
vertical_mouse_sensitivity_desc	Czułość myszy w pionie.
replay_download	Pobierz
replay_delete_confirm	Usunąć?
leaderboard	Ranking
leaderboard_beat_dev_time	Pobij czas <color=#00CCCC>twórców</color>, żeby zobaczyć ranking!
leaderboard_own_time	Twój czas
leaderboard_world	Świat
leaderboard_country	Kraj
leaderboard_friend	Znajomi
replay_play_level	Zagraj poziom
replay_watch_again	Obejrzyj ponownie
replay_saved	Zapisana powtórka
feedback	Opinie
send	Wyślij
mail_here	Twój e-mail…
enter_text	Wpisz tekst…
mail_sending	Wysyłanie wiadomości
mail_sent	Wiadomość wysłana
mail_sent_thank	Dziękujemy!  :)
mail_send_error	Błąd wysyłania wiadomości
bug	Błąd
contact	Kontakt
request	Prośba
success_mail_send	Wiadomość wysłana
error_mail_send	Błąd wysyłania wiadomości
thank_you	Dziękujemy!
menu_replay_saved	Zapisane powtórki
menu_best_time	Najlepsze czasy
delete_question	Usunąć?
error	Błąd
load_more	Wczytaj więcej
world_name_debug	Świat testowy
world_name_tutorial	Samouczek
world_name_easy	Łatwe próby
world_name_medium	Średnie próby
world_name_hard	Mordercze próby
level_name_steppie_steps	Kroczki
level_name_harder_walkies	Trudniejsze spacerki
level_name_start_game	Start gry
