HUD/Ally	Sojusznik
HUD/CantDoNow	Popis niedostępny
HUD/Climb	Wspinaczka
HUD/CloseRift	Zamknij furtkę
HUD/CoachVictoryDesc	Straż dyliżansu pokonana.
HUD/Dead	Ranny
HUD/DeadFem	Ranna
HUD/Enemy	Wróg
HUD/ExitEncounter	Opuść starcie
HUD/GetReady	STARCIE
HUD/Help	Kumpel
HUD/InfoArmorTitle	Pancerz:
HUD/InfoHealthTitle	Zdrowie:
HUD/InfoNameTitle	Typ:
HUD/InfoStateTitle	Analiza:
HUD/Invulnerable	Nietykalność
HUD/Loss	Porażka!
HUD/LossDescription	Wszyscy banici znokautowani.
HUD/MarshalVictoryDesc	Obława pokonana.
HUD/NoShine	Brak bimbru
HUD/PackVictoryDesc	Sfora pokonana.
HUD/PalHelping	Kumpel pomaga
HUD/PatrolVictoryDesc	Patrol pokonany.
HUD/Rage	Szał
HUD/Resist	Odparto
HUD/Retreat	Odwrót!
HUD/RetreatDescription	Grupa się wycofuje.
HUD/RoadblockVictoryDesc	Straż blokady pokonana.
HUD/StartShowdown	Rozpocznij starcie
HUD/Surrender	Poddaj się
HUD/SwitchOutlaws	Zmień banitów
HUD/SwitchToCasino	Zmień na Casino
HUD/SwitchToOutlaw2	Zmień banitę
HUD/Talents	Asy
HUD/Tenacious	Nieustępliwość
HUD/Time	Czas
HUD/TimeExpiredDescription	Dyliżans uciekł.
HUD/UseJuice	Popis
HUD/UseToExit	Odwrót 
HUD/Victory	Zwycięstwo!
Notification/BulletTimeKillStreak	Zabójstwa w czasie kuli: 
Notification/BulletTimeKillStreakReset	Seria w czasie kuli przerwana
Notification/HeadshotKillStreak	Seria zabójstw krytycznych: 
Notification/HeadshotKillStreakReset	Seria krytycznych przerwana
Notification/LuckyDice	Szczęśliwe kości
Notification/LuckyEscape	Szczęśliwa ucieczka
Notification/Panic	Wróg ucieka
Notification/Panicked	Panika
Notification/PickedUpArmor	Podniesiono pancerz
Notification/PickedUpBankKey	Podniesiono klucz do banku
Notification/PickedUpBeans	Podniesiono fasolę
Notification/PickedUpBlacksmithKey	Podniesiono klucz do kuźni
Notification/PickedUpBucks	Podniesiono cramm: 
Notification/PickedUpDistilleryKey	Podniesiono klucz do gorzelni
Notification/PickedUpGold	Podniesiono błysk
Notification/PickedUpGrit	Podniesiono hart
Notification/PickedUpHealth	Podniesiono zdrowie
Notification/PickedUpInvulnerable	Podniesiono nietykalność
Notification/PickedUpJailKey	Podniesiono klucz do celi
Notification/PickedUpNavs	Podniesiono nadajnik
Notification/PickedUpRage	Podniesiono szał
Notification/PickedUpShine	Podniesiono bimber
Notification/PickedUpWater	Podniesiono nitro: 
Notification/PickedUpWellKey	Podniesiono klucz do studni
Notification/PickedUpcramm	Podniesiono tabakę
Notification/PickupFailed	Nie można podnieść
Notification/QuestComplete	Wykonane
Notification/QuestFailed	Nieudane
Notification/QuestIncomplete	Niewykonane
Notification/QuestReset	Zresetowane
Notification/ShineFlask	Bimber ponownie użyty
Notification/SubvertCritter	Zwierz przejęty
Notification/SubvertGuard	Strażnik przejęty
Notification/SubvertSecurity	Ochrona przejęta
Notification/Tenacious	Nieustępliwość
Notification/TimeWalker	Spacer w czasie
Options/Acceleration	Przyspieszenie
Options/AccelerationOne	Standardowe
Options/AccelerationTwo	Wysokie
Options/AccelerationZero	Brak
Options/AimAssist	Wspomaganie celowania
Options/AlreadyBoundTo	Już przypisane do
Options/Apply	Zastosuj
Options/Audio	Dźwięk
Options/AutoStand	Wstawanie przy biegu
Options/AutoStandDesc	Automatycznie wstawaj, gdy biegniesz
Options/Choosing	Wybieranie
Options/CloseConsole	Zamknij konsolę
Options/Controller	Kontroler
Options/ControllerMap	Układ kontrolera
Options/ControllerMapSwitch	Układ kontrolera
Options/Crouch	Kucanie
Options/CrouchAlt	Kucanie (alt.)
Options/Defaults	Domyślne
Options/Display	Ekran
Options/Done	Gotowe
Options/Dynamic Range	Zakres dynamiki
Options/EscapeMenu	Menu pauzy
Options/ExtremeResponse	Ekstremalna
Options/FOV	FOV
Options/Fire	Strzał
Options/Frameskip	Pomijanie klatek
Options/Fullscreen	Pełny ekran
Options/Gameplay	Rozgrywka
Options/Gamma	Gamma
Options/Graphics	Grafika
Options/Headphones	Słuchawki
Options/High	Wysoka
Options/HorizontalSensitivity	Czułość pozioma
Options/Interact	Interakcja
Options/Invert Pitch	Odwróć oś pionową
Options/Jump	Skok
Options/Keyboard	Klawiatura
Options/Language	Język
Options/LinearResponse	Liniowa
Options/Look	Rozglądanie
Options/LookDeadzone	Martwa strefa rozglądania
Options/Low	Niska
Options/Medium	Średnia
Options/Menu	Menu
Options/Mouse	Mysz
Options/Move	Ruch
Options/Move down	Do tyłu
Options/Move left	W lewo
Options/Move right	W prawo
Options/Move up	Do przodu
Options/MoveDeadzone	Martwa strefa ruchu
Options/MoveMode	Tryb ruchu
Options/Music	Muzyka
Options/NarrativeAudio	Głos narratora
Options/Normal	Standardowa
Options/Off	Wył.
Options/On	Wł.
Options/OpenConsole	Otwórz konsolę
Options/Options	Opcje
Options/Outlaw1	Banita 1
Options/Outlaw2	Banita 2
Options/OutlawToggle	Zmień banitę
Options/Planet	Planeta
Options/PosSmooth	Wygładzanie ruchu
Options/PosSmoothDesc	Wygładzaj ruch postaci
Options/PushAnyKeyOrEsc	Naciśnij dowolny klawisz albo Esc, aby anulować
Options/Q0	Niska
Options/Q1	Średnia
Options/Q2	Wysoka
Options/Q3	Ultra
Options/Quality	Jakość
Options/Reload	Przeładuj
Options/Resolution	Rozdzielczość
Options/ResponseCurve	Krzywa reakcji
Options/Restart Required	Wymagany restart
Options/Revert	Domyślne
Options/RotSmooth	Wygładzanie kamery
Options/RotSmoothDesc	Wygładzaj ruch kamery
Options/ScrollEast	Przewiń na wschód
Options/ScrollNorth	Przewiń na północ
Options/ScrollSouth	Przewiń na południe
Options/ScrollWest	Przewiń na zachód
Options/Select	Wybierz
Options/Sensitivity	Czułość
Options/Showdown	Starcie
Options/Smoothing	Wygładzanie
Options/Sprint	Sprint
Options/StandardResponse	Standardowa
Options/Stunt	Popis
Options/Subtitles	Napisy
Options/Surround	Surround
Options/TV	Telewizor
Options/Toggle Aim	Przełączane celowanie
Options/Toggle Run	Przełączany bieg
Options/ToggleAimDesc	Przycisk celowania włącza i wyłącza celowanie
Options/ToggleRunDesc	Przełączanie biegu i chodu na klawiaturze
Options/ToolTips	Podpowiedzi
Options/Ultra	Ultra
Options/VerticalSensitivity	Czułość pionowa
Options/Very High	Bardzo wysoka
Options/Very Low	Bardzo niska
Options/Vibration	Wibracje
Options/Volume	Głośność
Options/Vsync	Synchronizacja pionowa
Options/Zoom	Celowanie
Options/ZoomSensitivity	Czułość przy celowaniu
TutorialBody/Backdoor	Furtki wypuszczają wrogów. Patrz i nasłuchuj, żeby je znaleźć i zamknąć.
TutorialBody/BillyStunt	Podczas popisu Billy błyskawicznie opróżnia i przeładowuje oba pistolety, zasypując wrogów gradem ołowiu. Najlepszy na duże grupy twardych przeciwników.
TutorialBody/BillyWeapon	Przy każdym strzale Billy szybko strzela z obu Bliźniaków po kolei. Przeładowuje je też razem.
TutorialBody/CasinoWeapon	Karta strzelby Casino daje losową premię, inną w każdym starciu.
TutorialBody/Decoy	Wabik Pajęczej Rosy ściąga ataki wrogów, chroniąc ją.
TutorialBody/DemoSwitching	Każdy banita ma własną broń, zdrowie i popis. Zmieniaj banitów, żeby dobrać najlepszego do przeciwnika!
TutorialBody/FletchStunt	Burza strzał wystrzeliwuje w każdego wroga śmiertelną samonaprowadzającą strzałę. Może wykończyć wszystkich naraz!
TutorialBody/FletchWeapon	Przytrzymaj strzał, by naciągnąć łuk, i puść, by wystrzelić. Strzała poleci za podświetlonym celem. 
TutorialBody/HopalongStunt	Trzask bicza Hopalonga ogłusza wszystkich wrogów.
TutorialBody/HopalongWeapon	Lasso Hopalonga chwyta i dusi pobliskich wrogów. Możliwe cele są podświetlone. Przytrzymaj strzał, by nie wypuścić ich z pętli.
TutorialBody/JudgeStunt	Popis Sędziego spowalnia czas i pozwala na precyzyjne strzały w punkty krytyczne.
TutorialBody/JudgeWeapon	Każde trafienie krytyczne buduje szafot na karabinie Wyrok. Po 3 trafieniach krytycznych następny strzał to natychmiastowa egzekucja. 
TutorialBody/KaboomStunt	Kaboom staje się niewidzialny i może zakraść się do wrogów.
TutorialBody/KaboomWeapon	Podpal i rzuć laskę bum. Celowanie zwiększa zasięg rzutu. Idealne na wrogów za osłoną albo tarczą.
TutorialBody/PreachStunt	Każde trafienie kulą podczas Potępienia leczy Kaznodzieję.
TutorialBody/PreachWeapon	Gatling Kaznodziei potrzebuje czasu, by się rozkręcić do pełnej szybkostrzelności. Zacznij strzelać, zanim wyjdziesz zza osłony.
TutorialBody/RawhideStunt	Zew natury przeciąga zwierza na twoją stronę. Najlepiej działa na grizzly!
TutorialBody/RawhideWeapon	Stary Wrzaskun wystrzeliwuje serię trzech strzałów dźwiękowych. Przebijają pola siłowe, takie jak na wrogich planetach, w światach Sierry czy u cykorów.
TutorialBody/RosaWeapon	Pistolety Rosy oplatają cel pajęczyną i spowalniają go. Czterema rękami może przeładowywać jeden, strzelając z drugiego.
TutorialBody/RoswellStunt	Wystrzeliwuje Roswella w powietrze z potężnym wybuchem. Przy każdym lądowaniu Roswell znów wystrzeliwuje. Wybuchy ogłuszają i ranią pobliskich wrogów.
TutorialBody/RoswellWeapon	Przytrzymaj, by strzelać seriami. Promień mezonowy nie wymaga przeładowania, ale się przegrzewa i Roswell musi odczekać, aż ostygnie.
TutorialBody/Roulette	Popis Ruletka od Casino zabija jednego losowego wroga.
TutorialBody/SargeStunt	Umocnienie chroni Sierżanta przed atakami z przodu. Odbija nawet pociski w strzelca!
TutorialBody/SargeWeapon	Karabin Sierżanta to świetna broń do wszystkiego: duży magazynek, celny ogień i dobre obrażenia.
TutorialBody/Shine	Zbieraj bimber, by zasilać popisy banitów. Każdy banita ma własny, wyjątkowy popis.
TutorialBody/SmokyStunt	Popis Smoky'ego podpala trzech pobliskich wrogów.
TutorialBody/SmokyWeapon	Smoky rzuca ogniem. Przytrzymaj, by strzelać seriami. Celowanie zwiększa zasięg kul ognia.
TutorialBody/SpikeStunt	Popis Spike'a przejmuje trzy najbliższe lufy albo skrzynki-pułapki.
TutorialBody/SpikeWeapon	Spike rzuca cichymi nożami, które zawsze trafiają krytycznie. Po zabójstwie staje się niewidzialny na pięć sekund. Wykorzystaj ten czas, by zmienić pozycję albo zabić więcej!
TutorialTitle/Backdoor	Furtki
TutorialTitle/BillyStunt	Ogień wachlarzowy
TutorialTitle/BillyWeapon	Bliźniaki
TutorialTitle/CasinoWeapon	Kicker
TutorialTitle/Decoy	Wabik
TutorialTitle/DemoSwitching	Zmiana banitów
TutorialTitle/FletchStunt	Burza strzał
TutorialTitle/FletchWeapon	Tempus Fugit
TutorialTitle/HopalongStunt	Trzask bicza
TutorialTitle/HopalongWeapon	Laserowe lasso
TutorialTitle/JudgeStunt	Czas sądu
TutorialTitle/JudgeWeapon	Wyrok .50
TutorialTitle/KaboomStunt	Postać mgły
TutorialTitle/KaboomWeapon	Laski bum
TutorialTitle/PreachStunt	Potępienie
TutorialTitle/PreachWeapon	Kazanie .58
TutorialTitle/RawhideStunt	Zew natury
TutorialTitle/RawhideWeapon	Stary Wrzaskun
TutorialTitle/RosaWeapon	Calaveras
TutorialTitle/RoswellStunt	Odpalenie
TutorialTitle/RoswellWeapon	Promień mezonowy
TutorialTitle/Roulette	Ruletka
TutorialTitle/SargeStunt	Umocnienie
TutorialTitle/SargeWeapon	Emeryt 10 mm
TutorialTitle/Shine	Bimber
TutorialTitle/SmokyStunt	Grillowanie
TutorialTitle/SmokyWeapon	Sos do skórowania
TutorialTitle/SpikeStunt	Hakowanie ochrony
TutorialTitle/SpikeWeapon	Otwieracz do ludzi
UIMG/Back	Wstecz
UIMG/Campaign	Fabularna
UIMG/CampaignDesc	Kolejność banitów wyznacza fabuła
UIMG/Challenge	Wyzwanie
UIMG/ChallengeUnlock	Ukończ kampanię, by odblokować wyzwania
UIMG/ChallengesTitle	Wyzwania
UIMG/ConfirmGraphicsApply1	Potwierdź nowe ustawienia grafiki. Przywrócenie za: 1
UIMG/ConfirmGraphicsApply2	Potwierdź nowe ustawienia grafiki. Przywrócenie za: 2
